seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
3,58,0.48125,0.475,0.4875
3,59,0.496875,0.4875,0.50625
3,60,0.509375,0.5,0.51875
3,61,0.50625,0.525,0.4875
4,0,0.503125,0.50625,0.5
4,1,0.509375,0.51875,0.5
4,2,0.496875,0.5375,0.45625
4,3,0.496875,0.51875,0.475
4,4,0.503125,0.48125,0.525
4,5,0.49375,0.49375,0.49375
4,6,0.509375,0.525,0.49375
4,7,0.540625,0.5625,0.51875
4,8,0.525,0.575,0.475
4,9,0.528125,0.55625,0.5
4,10,0.5,0.53125,0.46875
4,11,0.5,0.4875,0.5125
4,12,0.534375,0.51875,0.55
4,13,0.51875,0.5,0.5375
4,14,0.490625,0.4875,0.49375
4,15,0.49375,0.51875,0.46875
4,16,0.475,0.49375,0.45625
4,17,0.475,0.46875,0.48125
4,18,0.48125,0.5,0.4625
4,19,0.4625,0.475,0.45
4,20,0.44375,0.41875,0.46875
4,21,0.446875,0.43125,0.4625
4,22,0.434375,0.4625,0.40625
4,23,0.465625,0.49375,0.4375
4,24,0.45,0.475,0.425
4,25,0.440625,0.475,0.40625
4,26,0.415625,0.4125,0.41875
4,27,0.440625,0.43125,0.45
4,28,0.45625,0.4375,0.475
4,29,0.44375,0.4,0.4875
4,30,0.459375,0.45,0.46875
4,31,0.446875,0.43125,0.4625
4,32,0.43125,0.4375,0.425
4,33,0.46875,0.49375,0.44375
4,34,0.459375,0.475,0.44375
4,35,0.459375,0.4875,0.43125
4,36,0.4375,0.45625,0.41875
4,37,0.43125,0.45,0.4125
4,38,0.4625,0.5,0.425
4,39,0.440625,0.4875,0.39375
4,40,0.453125,0.49375,0.4125
4,41,0.421875,0.43125,0.4125
4,42,0.4375,0.45,0.425
4,43,0.45625,0.46875,0.44375
4,44,0.421875,0.43125,0.4125
4,45,0.4375,0.44375,0.43125
4,46,0.434375,0.44375,0.425
4,47,0.44375,0.45,0.4375
4,48,0.446875,0.44375,0.45
4,49,0.440625,0.45,0.43125
4,50,0.44375,0.46875,0.41875
4,51,0.446875,0.475,0.41875
4,52,0.425,0.45625,0.39375
4,53,0.425,0.43125,0.41875
4,54,0.446875,0.44375,0.45
4,55,0.45625,0.44375,0.46875
4,56,0.496875,0.475,0.51875
4,57,0.496875,0.475,0.51875
4,58,0.48125,0.46875,0.49375
4,59,0.490625,0.475,0.50625
4,60,0.48125,0.4625,0.5
4,61,0.453125,0.4625,0.44375
5,0,0.525,0.55,0.5
5,1,0.50625,0.55625,0.45625
5,2,0.496875,0.55625,0.4375
5,3,0.496875,0.55,0.44375
5,4,0.496875,0.5375,0.45625
5,5,0.490625,0.49375,0.4875
5,6,0.49375,0.475,0.5125
5,7,0.48125,0.5125,0.45
5,8,0.496875,0.525,0.46875
5,9,0.475,0.45625,0.49375
5,10,0.50625,0.49375,0.51875
5,11,0.503125,0.4875,0.51875
5,12,0.490625,0.55625,0.425
5,13,0.4875,0.49375,0.48125
5,14,0.484375,0.46875,0.5
5,15,0.5,0.49375,0.50625
5,16,0.50625,0.475,0.5375
5,17,0.50625,0.48125,0.53125
5,18,0.50625,0.5,0.5125
5,19,0.521875,0.51875,0.525
5,20,0.503125,0.525,0.48125
5,21,0.50625,0.4875,0.525
5,22,0.484375,0.4625,0.50625
5,23,0.521875,0.53125,0.5125
5,24,0.546875,0.575,0.51875
5,25,0.509375,0.5125,0.50625
5,26,0.503125,0.5375,0.46875
5,27,0.5,0.525,0.475
5,28,0.50625,0.575,0.4375
5,29,0.471875,0.5375,0.40625
5,30,0.509375,0.5625,0.45625
5,31,0.49375,0.5375,0.45
5,32,0.48125,0.53125,0.43125
5,33,0.503125,0.54375,0.4625
5,34,0.50625,0.525,0.4875
5,35,0.5125,0.5375,0.4875
5,36,0.51875,0.55625,0.48125
5,37,0.51875,0.5375,0.5
5,38,0.5125,0.525,0.5
5,39,0.521875,0.54375,0.5
5,40,0.521875,0.55,0.49375
5,41,0.509375,0.51875,0.5
5,42,0.51875,0.54375,0.49375
5,43,0.525,0.53125,0.51875
5,44,0.515625,0.51875,0.5125
5,45,0.503125,0.49375,0.5125
5,46,0.5125,0.53125,0.49375
5,47,0.521875,0.5375,0.50625
5,48,0.525,0.54375,0.50625
5,49,0.515625,0.51875,0.5125
5,50,0.51875,0.525,0.5125
5,51,0.540625,0.5625,0.51875
5,52,0.521875,0.5375,0.50625
5,53,0.525,0.54375,0.50625
5,54,0.528125,0.55,0.50625
5,55,0.521875,0.55,0.49375
5,56,0.540625,0.55625,0.525
5,57,0.5375,0.54375,0.53125
5,58,0.528125,0.56875,0.4875
5,59,0.5125,0.55625,0.46875
5,60,0.50625,0.5375,0.475
5,61,0.50625,0.54375,0.46875
6,0,0.49375,0.5,0.4875
6,1,0.50625,0.5125,0.5
6,2,0.509375,0.4875,0.53125
6,3,0.496875,0.4875,0.50625
6,4,0.5125,0.5375,0.4875
6,5,0.496875,0.45,0.54375
6,6,0.515625,0.475,0.55625
6,7,0.490625,0.5,0.48125
6,8,0.5125,0.49375,0.53125
6,9,0.484375,0.475,0.49375
6,10,0.509375,0.5,0.51875
6,11,0.5,0.51875,0.48125
6,12,0.496875,0.53125,0.4625
6,13,0.54375,0.55625,0.53125
6,14,0.50625,0.58125,0.43125
6,15,0.509375,0.5375,0.48125
6,16,0.484375,0.5375,0.43125
6,17,0.50625,0.5125,0.5
6,18,0.553125,0.5625,0.54375
6,19,0.50625,0.5125,0.5
6,20,0.521875,0.53125,0.5125
6,21,0.51875,0.53125,0.50625
6,22,0.53125,0.5125,0.55
6,23,0.5,0.5125,0.4875
6,24,0.509375,0.50625,0.5125
6,25,0.503125,0.46875,0.5375
6,26,0.515625,0.5,0.53125
6,27,0.50625,0.5,0.5125
6,28,0.503125,0.49375,0.5125
6,29,0.53125,0.53125,0.53125
6,30,0.515625,0.5,0.53125
6,31,0.509375,0.51875,0.5
6,32,0.540625,0.54375,0.5375
6,33,0.503125,0.55,0.45625
6,34,0.51875,0.525,0.5125
6,35,0.5125,0.5,0.525
6,36,0.496875,0.48125,0.5125
6,37,0.49375,0.5,0.4875
6,38,0.4875,0.4875,0.4875
6,39,0.5125,0.49375,0.53125
6,40,0.478125,0.46875,0.4875
6,41,0.509375,0.4875,0.53125
6,42,0.496875,0.5375,0.45625
6,43,0.50625,0.54375,0.46875
6,44,0.50625,0.50625,0.50625
